time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,13,7,3,2
2026-06-08 00:00:00+00:00,28,10,0,0
2026-06-09 00:00:00+00:00,1,1,0,0
2026-06-10 00:00:00+00:00,2,2,0,0
2026-06-11 00:00:00+00:00,17,7,0,0
2026-06-12 00:00:00+00:00,25,10,0,0
2026-06-13 00:00:00+00:00,17,7,0,0
2026-06-14 00:00:00+00:00,29,10,0,0
2026-06-15 00:00:00+00:00,24,9,0,0
2026-06-16 00:00:00+00:00,18,7,0,0
2026-06-17 00:00:00+00:00,21,7,0,0
2026-06-18 00:00:00+00:00,38,9,0,0
2026-06-19 00:00:00+00:00,45,11,0,0
2026-06-20 00:00:00+00:00,51,13,0,0
