time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,0,0,0,0
2026-02-28 00:00:00+00:00,0,0,0,0
2026-03-01 00:00:00+00:00,0,0,0,0
2026-03-02 00:00:00+00:00,0,0,0,0
2026-03-03 00:00:00+00:00,19,15,9,2
2026-03-04 00:00:00+00:00,4,4,3,2
2026-03-05 00:00:00+00:00,0,0,21,2
2026-03-06 00:00:00+00:00,0,0,0,0
2026-03-07 00:00:00+00:00,0,0,0,0
2026-03-08 00:00:00+00:00,0,0,15,1
2026-03-09 00:00:00+00:00,2,2,0,0
2026-03-10 00:00:00+00:00,0,0,0,0
2026-03-11 00:00:00+00:00,0,0,0,0
2026-03-12 00:00:00+00:00,1,1,0,0
2026-03-13 00:00:00+00:00,15,10,0,0
2026-03-14 00:00:00+00:00,19,9,0,0
2026-03-15 00:00:00+00:00,5,4,0,0
2026-03-16 00:00:00+00:00,16,7,0,0
2026-03-17 00:00:00+00:00,10,6,3,2
2026-03-18 00:00:00+00:00,11,5,0,0
2026-03-19 00:00:00+00:00,10,5,0,0
2026-03-20 00:00:00+00:00,13,5,0,0
2026-03-21 00:00:00+00:00,9,5,0,0
2026-03-22 00:00:00+00:00,8,4,0,0
2026-03-23 00:00:00+00:00,17,8,0,0
2026-03-24 00:00:00+00:00,7,3,0,0
2026-03-25 00:00:00+00:00,8,3,0,0
2026-03-26 00:00:00+00:00,17,8,0,0
2026-03-27 00:00:00+00:00,12,7,0,0
2026-03-28 00:00:00+00:00,20,11,0,0
2026-03-29 00:00:00+00:00,23,14,2,1
2026-03-30 00:00:00+00:00,11,7,0,0
2026-03-31 00:00:00+00:00,6,5,0,0
2026-04-01 00:00:00+00:00,13,8,0,0
2026-04-02 00:00:00+00:00,14,9,0,0
2026-04-03 00:00:00+00:00,11,6,0,0
2026-04-04 00:00:00+00:00,17,9,0,0
2026-04-05 00:00:00+00:00,18,9,0,0
2026-04-06 00:00:00+00:00,9,5,0,0
2026-04-07 00:00:00+00:00,17,9,6,1
2026-04-08 00:00:00+00:00,9,5,0,0
2026-04-09 00:00:00+00:00,15,5,0,0
2026-04-10 00:00:00+00:00,8,3,0,0
